Kind,Namespace,Name,Schedule,CPU_Limit,Mem_Limit,Has_Init,Init_Names,Has_Sidecars,Sidecar_Names,PVC_Count,ConfigMap_Count,Secret_Count,Total_Containers
Deployment,kube-system,coredns,N/A,100m,170Mi,No,,No,,0,1,0,1
Deployment,local-path-storage,local-path-provisioner,N/A,0,0,No,,No,,0,1,0,1
Deployment,projectcontour,contour,N/A,0,0,No,,No,,0,1,1,1
DaemonSet,kube-system,kindnet,N/A,100m,50Mi,No,,No,,0,0,0,1
DaemonSet,kube-system,kube-proxy,N/A,0,0,No,,No,,0,1,0,1
DaemonSet,projectcontour,envoy,N/A,0,0,Yes,envoy-initconfig,Yes,envoy,0,0,1,3
Job,projectcontour,contour-certgen-v1-32-1,N/A,0,0,No,,No,,0,0,0,1
